epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,17085.8,1.14694,0.92597,1.2193,0.74763,0.66423,0.73256,0.43228,1.47593,1.21788,1.43487,0.0009308,0.0009308,0.0009308
56,17391.5,1.1324,0.88948,1.21626,0.78476,0.66534,0.76389,0.45631,1.44782,1.2125,1.42864,0.000911,0.000911,0.000911
57,17694.8,1.15516,0.9743,1.22373,0.73387,0.67766,0.75141,0.4561,1.45216,1.181,1.43459,0.0008912,0.0008912,0.0008912
58,17995.2,1.12319,0.91752,1.22723,0.74341,0.69586,0.76676,0.47569,1.43349,1.0552,1.4014,0.0008714,0.0008714,0.0008714
59,18300.7,1.09042,0.85682,1.19662,0.79752,0.66125,0.77587,0.48655,1.42431,1.12312,1.42479,0.0008516,0.0008516,0.0008516
60,18617.1,1.08988,0.88226,1.19546,0.76228,0.68657,0.77115,0.47556,1.41878,1.13455,1.39955,0.0008318,0.0008318,0.0008318
61,18935.1,1.11643,0.86034,1.2156,0.73026,0.73774,0.79258,0.48429,1.37865,1.0649,1.37517,0.000812,0.000812,0.000812
62,19266.2,1.08246,0.87593,1.17689,0.79933,0.66875,0.78237,0.47497,1.39623,1.11704,1.3702,0.0007922,0.0007922,0.0007922
63,19598.4,1.06903,0.85081,1.17044,0.78277,0.70141,0.78277,0.48319,1.41418,1.10323,1.40714,0.0007724,0.0007724,0.0007724
64,19932.4,1.07123,0.80714,1.16996,0.74748,0.66981,0.75172,0.45873,1.46446,1.13713,1.43391,0.0007526,0.0007526,0.0007526
65,20262.4,1.09343,0.86884,1.20799,0.7718,0.65207,0.76232,0.46701,1.43381,1.12289,1.4226,0.0007328,0.0007328,0.0007328
66,405.998,1.07659,0.85399,1.16544,0.78352,0.69343,0.77544,0.47843,1.40872,1.12827,1.36616,0.000713,0.000713,0.000713
67,811.453,1.03578,0.80797,1.15648,0.76879,0.68768,0.77573,0.4729,1.44068,1.08452,1.39623,0.0006932,0.0006932,0.0006932
68,1214.19,1.08902,0.84352,1.16912,0.80605,0.67153,0.79843,0.48784,1.41191,1.04501,1.38253,0.0006734,0.0006734,0.0006734
69,1617.91,1.05602,0.82193,1.16689,0.72688,0.74453,0.79247,0.49442,1.38336,1.14103,1.36571,0.0006536,0.0006536,0.0006536
70,2021.97,1.01939,0.78928,1.15325,0.7621,0.72487,0.79056,0.48328,1.40751,1.11465,1.39365,0.0006338,0.0006338,0.0006338
71,2422.19,1.03472,0.79454,1.16677,0.78643,0.7078,0.79641,0.48717,1.41832,1.04585,1.3977,0.000614,0.000614,0.000614
72,2818.66,1.04626,0.79836,1.15248,0.78552,0.68856,0.78774,0.48332,1.40948,1.06615,1.39866,0.0005942,0.0005942,0.0005942
73,3217.3,1.02532,0.76946,1.13084,0.7948,0.68613,0.78442,0.4831,1.37748,1.07884,1.35898,0.0005744,0.0005744,0.0005744
74,3615.99,1.00705,0.74701,1.12834,0.83631,0.64642,0.78622,0.49043,1.38736,1.07003,1.3983,0.0005546,0.0005546,0.0005546
75,4017.45,0.98687,0.75717,1.12338,0.76331,0.7129,0.78794,0.49324,1.36086,1.09481,1.37164,0.0005348,0.0005348,0.0005348
76,4417.15,0.97032,0.745,1.13219,0.78561,0.71046,0.79759,0.49334,1.34179,0.99275,1.36101,0.000515,0.000515,0.000515
77,4813.22,0.98187,0.73209,1.14019,0.77444,0.70073,0.78942,0.49271,1.37966,1.00209,1.37508,0.0004952,0.0004952,0.0004952
78,5211.38,0.98606,0.72473,1.13437,0.79226,0.68127,0.78855,0.49367,1.37751,1.04745,1.39726,0.0004754,0.0004754,0.0004754
79,5614.51,0.97524,0.72205,1.13492,0.77506,0.67883,0.78765,0.49715,1.37247,1.07537,1.36455,0.0004556,0.0004556,0.0004556
80,6015.21,0.94899,0.74036,1.10957,0.84035,0.63747,0.78796,0.48776,1.39339,1.05227,1.37807,0.0004358,0.0004358,0.0004358
81,6416.09,0.97604,0.72429,1.13196,0.82911,0.6618,0.79464,0.48896,1.39838,1.02778,1.38564,0.000416,0.000416,0.000416
82,6813.03,1.00735,0.72704,1.17459,0.76121,0.72906,0.80779,0.49252,1.38766,1.01317,1.37462,0.0003962,0.0003962,0.0003962
